"uống rượu khi lái xe máy bị phạt bao nhiêu tiền","Căn cứ điềm c, khoản 7, điều 6, nghị định 100/2019/NĐ-CP mức phạt là từ 4.000.000 đồng đến 5.000.000 đồng khi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở"
"nghị định 100 về nồng độ cồn xe máy","Nghị định 100/2019/NĐ-CP là văn bản mới nhất quy định về mức xử phạt tất cả các lỗi vi phạm trong lĩnh vực giao thông đường bộ trong đó có xe máy và ô tô vi phạm lỗi nồng độ cồn (Uống rượu bia khi tham gia giao thông."
"uống bao nhiêu cốc bia sẽ bị thổi phạt về nồng độ cồn","Theo tiêu chuẩn của Tổ chức Y tế Thế giới (WHO), một đơn vị uống chuẩn chứa 10 gram cồn. Đơn vị uống chuẩn này sẽ tương ứng với:  – 1 chén rượu mạnh (40 độ, 30 ml);  – 1 ly rượu vang (13,5 độ, 100 ml);  – 1 vại bia hơi (330 ml);  – 2/3 chai (lon) bia (330 ml).  Ngoài ra, nồng độ cồn trong máu/khí thở còn phụ thuộc vào cả các yếu tố như: Cân nặng người uống, tốc độ uống, thời gian uống và loại đồ uống.  Như vậy, để không bị thổi phạt về nồng độ cồn khi tham gia giao thông, mà cụ thể là điều khiển xe máy, moto thì nam giới không nên uống quá 2 đơn vị uống chuẩn, tương đương với 1,5 lon bia hoặc 2 ly rượu"
"Quy trình xử lý khi xảy ra tai nạn Giao thông đường bộ","Qúa trình xử lý của cơ quan công an khi xảy ra tai nạn giao thông đường bộ được thực hiện qua các bước cơ bản sau:  - Nhận tin và xử lý tin báo về vụ tai nạn giao thông  - Thực hiện các công việc cần làm ngay khi tới hiện trường vụ tai nạn: tổ chức cấp cứu người bị nạn, kiểm tra phương tiện, giấy tờ của những người liên quan, tổ chức bảo vệ hiện trường, tổ chức giao thông,...  - Khám nghiệm hiện trường (phải lập thành biên bản); phương tiện giao thông liên quan đến vụ tai nạn; cầu, đường, bến phà liên quan đến tai nạn giao thông; thân thể người bị nạn  - Báo cho gia đình hoặc cơ quan, đơn vị người bị nạn  - Tạm giữ phương tiện giao thông, người điều khiển phương tiện giao thông có liên quan  - Dựng lại hiện trường  - Ghi lời khai  - Giám định chuyên môn  - Đánh giá sơ bộ tỉ lệ thương tật của người bị nạn  - Xem xét kết quả điều tra và quyết định về việc giải quyết vụ tai nạn giao thông  Như vậy, việc tạm giữ xe ô tô của bạn thuộc nội dung tạm giữ phương tiện giao thông liên quan đến vụ tai nạn của quy trình điều tra, giải quyết một vụ tai nạn giao thông.  Theo khoản 8 Điều 125 Luật xử lý vi phạm hành chính 2012, thời hạn tạm giữ tang vật, phương tiện vi phạm hành chính là 07 ngày, kể từ ngày tạm giữ. Thời hạn tạm giữ có thể được kéo dài đối với những vụ việc có nhiều tình tiết phức tạp, cần tiến hành xác minh nhưng tối đa không quá 30 ngày, kể từ ngày tạm giữ tang vật, giấy phép, chứng chỉ hành nghề.  Theo như thông tin mà bạn cung cấp, sau khi xảy ra vụ tai nạn giao thông, CSGT huyện lấy lời khai những người ngồi trên xe ô tô và ra quyết định tạm giữ xe ô tô, bằng lái xe của bạn 30 ngày là đúng theo quy định của pháp luật về quy trình xử lí tai nạn giao thông."
" Lái xe uống rượu say gây tai nạn giao thông xử lý như thế nào","1. Người nào tham gia giao thông đường bộ mà vi phạm quy định về an toàn giao thông đường bộ gây thiệt hại cho người khác thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 30.000.000 đồng đến 100.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm:  a) Làm chết người;  b) Gây thương tích hoặc gây tổn hại cho sức khỏe của 01 người mà tỷ lệ tổn thương cơ thể 61% trở lên;  c) Gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tổng tỷ lệ tổn thương cơ thể của những người này từ 61% đến 121%;  d) Gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.  2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 10 năm:  a) Không có giấy phép lái xe theo quy định;  b) Trong tình trạng có sử dụng rượu, bia mà trong máu hoặc hơi thở có nồng độ cồn vượt quá mức quy định, có sử dụng chất ma túy hoặc chất kích thích mạnh khác;  c) Bỏ chạy để trốn tránh trách nhiệm hoặc cố ý không cứu giúp người bị nạn;"
"uống rượu khi lái xe ô tô bị phạt bao nhiêu tiền","- Điều khiển xe ô tô và các loại xe tương tự xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở. (Điểm c khoản 6 Điều 5)  Mức xử phạt: Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng.  Hình thức xử phạt bổ sung: Bị tước quyền sử dụng Giấy phép lái xe từ 10 tháng đến 12 tháng.  - Điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở. (Điểm c khoản 8 Điều 5)  Mức xử phạt: Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng.  Hình thức xử phạt bổ sung: Bị tước quyền sử dụng Giấy phép lái xe từ 16 tháng đến 18 tháng.  - Điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở; Không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ. (Điểm a, b khoản 10 Điều 5)  Mức xử phạt: Phạt tiền từ 30.000.000 đồng đến 40.000.000 đồng.  Hình thức xử phạt bổ sung: Bị tước quyền sử dụng Giấy phép lái xe từ 22 tháng đến 24 tháng."
"đi xe máy chở quá số người quy định thì bị phạt bao nhiêu tiền","Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:  a) Chuyển hướng không giảm tốc độ hoặc không có tín hiệu báo hướng rẽ (trừ trường hợp điều khiển xe đi theo hướng cong của đoạn đường bộ ở nơi đường không giao nhau cùng mức);  b) Chở theo từ 03 người trở lên trên xe;"""
"đi xe ô tô chở quá số người quy định thì bị phạt bao nhiêu tiền","Đối với xe ô tô chở hành khách, xe ô tô chở người và các loại xe tương tự (chạy tuyến cự ly nhỏ hơn 300km) chở quá số người:  - Đối với cá nhân: Phạt tiền từ 400.000 – 600.000 đồng/ mỗi người vượt quá. Tổng mức phạt tiền tối đa không vượt quá 40 triệu đồng.  - Đối với tổ chức giao phương tiện cho người làm công, người đại diện điều khiển phương tiện: Phạt tiền từ 800.000 đồng – 1.200.000 đồng/ mỗi người vượt quá. Tổng mức phạt tiền tối đa không vượt quá 80 triệu đồng.  Đối với xe ô tô chở hành khách, xe ô tô chở người và các loại xe tương tự (chạy tuyến cự ly trên 300km) chở quá số người quy định:  - Đối với cá nhân: Phạt tiền từ 1 triệu - 2 triệu đồng/ mỗi người vượt quá. Tổng mức phạt tiền tối đa không vượt quá 40 triệu đồng.  - Đối với tổ chức giao phương tiện cho người làm công, người đại diện điều khiển phương tiện: Phạt tiền từ 2 triệu - 4 triệu đồng/ mỗi người vượt quá. Tổng mức phạt tiền tối đa không vượt quá 80 triệu đồng."
"đi xe dàn hàng ngang thì bị phạt bao nhiêu","Căn cứ Điểm g Khoản 1 Điều 8 Nghị định 100/2019/NĐ-CP quy định:  - Phạt tiền từ 80.000 đồng đến 100.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: - Điều khiển xe đạp, xe đạp máy đi dàn hàng ngang từ 03 xe trở lên, xe thô sơ khác đi dàn hàng ngang từ 02 xe trở lên."
"xe nọ kéo xe kia trên đường bị phạt bao nhiêu tiền","Hành vi kéo, đẩy phương tiện khác khi tham gia giao thông là vi phạm pháp luật và sẽ bị xử phạt từ 80.000 đồng đến 800.000 đồng."
"ô tô đi vào đường cấm bị phạt bao nhiêu tiền ","Phạt tiền từ 1.000.000 đến 2.000.000 đồng đối với người điển khiển xe ô tô đi vào khu vực cấm, đường có biển báo hiệu cấm xe ô tô trừ các hành vi vi phạm quy định tại điểm c khoản 5, điểm a khoản 8 Điều 5 và các trường hợp xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định (Theo điểm b khoản 4 Điều 5)"
"xe máy đi vào đường cấm bị phạt bao nhiêu tiền","Xe máy đi vào đường cấm sẽ bị xử phạt từ 1.000.000 đồng đến 2.000.000 đồng và bị tước quyền sử dụng giấy phép lái xe từ 01 tháng đến 03 tháng"
"lái xe không mang theo bằng lái bị phạt bao nhiêu tiền"," Đối với người điều khiển xe ô tô, xe máy kéo và các loại xe tương tự xe ô tô không mang theo Giấy phép lái xe thì căn cứ theo quy định tại điểm a khoản 3 Điều 21 Nghị định 46/2016/NĐ-CP, họ sẽ bị xử phạt với mức phạt tiền từ 200.000 đồng đến 400.000 đồng."
